Name,lat,lon
Royal Alexandra Hospital,53.5568536,-113.4967364
Leduc Community Hospital,53.2548182,-113.5454391
Misericordia Community Hospital,53.5208740,-113.6118775
Fort Sask Community Hospital,53.6918950,-113.2108220
Northeast Community Health Centre,53.6044396,-113.4176211
University of Alberta Hospital,53.5203085,-113.5231019
Grey Nuns Community Hospital,53.4618990,-113.4296640
Stollery Children's Hospital,53.520646,-113.525084
Strathcona Community Hospital,53.568280,-113.276850
Sturgeon Community Hospital,53.655246,-113.625711
WestView Health Centre,53.537463,-113.976712
