Name,lat,lon
West End Medical Clinic,53.5318254,-113.5898385
Dominion Medical Centres (23 Ave),53.4525758,-113.4695148
Jack Nathan Health (127 Street NW),53.6317541,-113.5432862
Dominion Medical Centres (111 Street NW),53.4551370,-113.5137260
North Town Medical Centre,53.6008648,-113.4881239
TLC Family Medical Clinic,53.5338716,-113.6273341
Park Centre,53.4527136,-113.4761551
West Gate,53.5263208,-113.6174134
Rutherford Medical Clinic,53.4151698,-113.5245860
Dominion Medical Centres (Mullen Way NW),53.4343080,-113.5706898
Kensington Medical Clinic,53.5930290,-113.5396620
Shifa Medical Clinic ,53.4784300,-113.4928430
Jack Nathan Health (Watt Common SW),53.4221604,-113.4193382
DX Medical Centres (38 Ave),53.4720029,-113.4501391
Stony Plain Medical,53.5415910,-113.5889090
Justik Medical Clinic,53.5188583,-113.5001406
Jasper Avenue Medical Clinic,53.4547900,-113.4083710
Edge Centre Walk-In Clinic,53.4547657,-113.4084596
Care Plus Medical Clinic,53.4894537,-113.5425521
Millbourne Mall Medical Centre,53.4722697,-113.4504354
Capilano Medical Center,53.5408445,-113.4254106
Westmount Medical Clinic,53.5583726,-113.5506522
Beverly Medical Clinic,53.5701470,-113.4076360
Jack Nathan Health (Tamarack Way NW),53.4790981,-113.3629684
